Name,Discount,Tag,Original_Price,Discount_Price,Deadline
Moonlighter,-66%,Matches previous low,$24.99,$8.49,Sale ends October 31
Ghostbusters: The Video Game Remastered,-75%,Lowest price ever,$29.99,$7.49,Sale ends November 2
Cat Quest,-85%,Lowest price ever,$12.99,$1.99,Sale ends in 38 hours
Bloodroots,-90%,Lowest price ever,$19.99,$1.99,Sale ends November 2
BioShock: The Collection,-40%,Lowest price ever,$49.99,$29.83,[]
Child of Light Ultimate Edition,-75%,Matches previous low,$19.99,$4.99,Sale ends November 1
Children of Morta,-41%,Lowest price ever,$21.99,$12.99,Sale ends October 31
SteamWorld Heist: Ultimate Edition,-75%,Matches previous low,$19.99,$4.99,Sale ends November 1
Mark of the Ninja: Remastered,-75%,Matches previous low,$19.99,$4.99,Sale ends November 2
Crawl,-67%,Lowest price ever,$14.99,$4.99,Sale ends November 4
Mario + Rabbids Kingdom Battle Gold Edition,-75%,Matches previous low,$79.99,$19.99,Sale ends November 1
Pokémon Shield,-33%,Lowest price ever,$59.99,$39.99,[]
LEGO Harry Potter Collection,-75%,Matches previous low,$49.99,$12.49,Sale ends November 2
Borderlands Legendary Collection,-40%,Lowest price ever,$49.99,$29.83,[]
State of Mind,-90%,Lowest price ever,$39.99,$3.99,Sale ends November 11
New Super Mario Bros. U Deluxe,-33%,Matches previous low,$59.99,$39.99,[]
Neverwinter Nights: Enhanced Edition,-60%,Lowest price ever,$49.99,$19.99,[]
SteamWorld Dig 2,-60%,Matches previous low,$19.99,$7.99,Sale ends November 1
Crypt of the NecroDancer: Nintendo Switch Edition,-80%,Matches previous low,$19.99,$3.99,Sale ends November 11
Don't Starve: Nintendo Switch Edition,-75%,Matches previous low,$19.99,$4.99,Sale ends November 2
Mario + Rabbids Kingdom Battle,-75%,Matches previous low,$59.99,$14.99,Sale ends November 1
Alien: Isolation,-43%,Lowest price ever,$34.99,$19.99,Sale ends November 3
XCOM 2 Collection,-40%,Lowest price ever,$49.99,$29.83,[]
Amnesia: Collection,-80%,Lowest price ever,$29.99,$5.99,Sale ends November 2
Silence,-90%,Lowest price ever,$39.99,$3.99,Sale ends November 11
Rayman Legends Definitive Edition,-75%,Matches previous low,$39.99,$9.99,Sale ends November 1
Xenoblade Chronicles Definitive Edition,-33%,Matches previous low,$59.99,$39.99,[]
