Name,Discount,Tag,Original_Price,Discount_Price,Deadline
ONE PIECE: PIRATE WARRIORS 4,-50%,Lowest price ever,$59.99,$29.99,[]
Deponia,-90%,Matches previous low,$39.99,$3.99,Sale ends November 11
The Long Journey Home,-80%,Lowest price ever,$29.99,$5.99,Sale ends November 11
Octopath Traveler,-17%,[],$59.99,$49.94,[]
AO Tennis 2,-83%,Lowest price ever,$59.99,$9.99,[]
Trials of Mana,-30%,[],$49.99,$34.88,[]
Mega Man Legacy Collection 2,-50%,Matches previous low,$19.99,$9.99,Sale ends in 38 hours
Darksiders Warmastered Edition,-50%,[],$29.99,$14.99,Sale ends November 5
Trailblazers,-80%,Lowest price ever,$29.99,$5.99,Sale ends November 1
Syberia 2,-95%,Matches previous low,$29.99,$1.49,Sale ends November 4
Everspace - Stellar Edition,-50%,[],$39.99,$19.93,[]
Goodbye Deponia,-75%,Lowest price ever,$19.99,$4.99,Sale ends November 11
"Snipperclips – Cut it out, together!",-38%,[],$19.99,$12.47,[]
Toki Tori 2+: Nintendo Switch Edition,-87%,[],$14.99,$1.99,Sale ends November 5
Digimon Story Cyber Sleuth: Complete Edition,-41%,[],$49.99,$29.49,[]
DRAGON BALL FIGHTERZ,-50%,[],$59.99,$29.99,[]
Starlink: Battle for Atlas Digital Edition,-75%,Matches previous low,$59.99,$14.99,Sale ends November 1
Darksiders II Deathinitive Edition,-50%,[],$29.99,$14.99,Sale ends November 5
Wolfenstein II: The New Colossus,-41%,[],$59.99,$35.63,[]
Syberia 3,-80%,Matches previous low,$49.99,$9.99,Sale ends November 4
Deponia Doomsday,-75%,Lowest price ever,$19.99,$4.99,Sale ends November 11
Diablo III: Eternal Collection,-22%,[],$59.99,$46.90,[]
The Witcher 3: Wild Hunt — Complete Edition,-17%,[],$59.99,$49.99,[]
One Finger Death Punch 2,-77%,Lowest price ever,$8.99,$2.06,Sale ends November 1
Death Road to Canada,-50%,Matches previous low,$14.99,$7.49,Sale ends November 4
Trials Rising Gold Edition,-70%,Matches previous low,$29.99,$8.99,Sale ends November 1
Chaos on Deponia,-75%,Lowest price ever,$19.99,$4.99,Sale ends November 11
Crossing Souls,-75%,Matches previous low,$14.99,$3.74,Sale ends November 2
The Swords of Ditto: Mormo's Curse,-50%,Matches previous low,$14.99,$7.49,Sale ends November 2
Banner Saga Trilogy,-50%,[],$49.99,$25.12,[]
Dead by Daylight,-40%,Lowest price ever,$29.99,$17.99,Sale ends November 3
Super Mario Maker 2,-17%,[],$59.99,$49.99,[]
Owlboy,-28%,[],$24.99,$18.00,[]
Captain Toad: Treasure Tracker,-18%,[],$39.99,$32.84,[]
Perception,-90%,Lowest price ever,$19.99,$1.99,Sale ends November 1
Darksiders Genesis,-40%,[],$39.99,$23.93,[]
Observer,-70%,[],$29.99,$8.99,Sale ends November 5
Super Chariot,-90%,[],$14.90,$1.49,Sale ends November 4
DRAGON QUEST BUILDERS 2,-25%,[],$59.99,$44.99,[]
Castle of Heart,-93%,Lowest price ever,$14.99,$0.99,Sale ends November 2
Just Dance 2020,-50%,[],$39.99,$19.99,Sale ends November 1
Scribblenauts Showdown,-75%,Matches previous low,$39.99,$9.99,Sale ends November 2
Trials Rising,-70%,Matches previous low,$19.99,$5.99,Sale ends November 1
GOD EATER 3,-50%,[],$59.99,$29.99,[]
Oceanhorn - Monster of Uncharted Seas,-50%,Matches previous low,$14.99,$7.49,Sale ends in 14 hours
Dead Synchronicity: Tomorrow Comes Today,-74%,Lowest price ever,$14.99,$3.89,Sale ends November 1
Planescape: Torment and Icewind Dale: Enhanced Editions,-41%,[],$49.99,$29.50,[]
RIVE: Ultimate Edition,-87%,[],$14.99,$1.99,Sale ends November 5
LEGO NINJAGO Movie Video Game,-75%,Matches previous low,$49.99,$12.49,Sale ends November 2
Outbuddies DX,-55%,Lowest price ever,$17.99,$8.09,Sale ends November 2
Omega Strike,-75%,Lowest price ever,$14.99,$3.74,Sale ends November 4
Slay the Spire,-20%,[],$24.99,$19.99,[]
LEGO Worlds,-70%,[],$29.99,$8.99,Sale ends November 2
Depixtion,-75%,Lowest price ever,$7.99,$1.99,Sale ends November 15
Battle Princess Madelyn Royal Edition,-75%,Lowest price ever,$14.99,$3.74,Sale ends November 9
Agent A: A puzzle in disguise,-90%,[],$19.99,$1.99,Sale ends November 13
"Pokémon: Let’s Go, Pikachu!",-26%,[],$59.99,$44.49,[]
Holy Potatoes! A Weapon Shop?!,-70%,Lowest price ever,$14.99,$4.49,Sale ends November 1
Mario + Rabbids Kingdom Battle : Season Pass,-50%,Matches previous low,$19.99,$9.99,Sale ends November 1
Sushi Striker: The Way of Sushido,-64%,[],$49.99,$17.99,[]
Conduct TOGETHER!,-90%,[],$19.99,$1.99,Sale ends November 13
Alder's Blood,-50%,Lowest price ever,$19.99,$9.99,Sale ends November 6
Bloodstained: Ritual of the Night,-25%,[],$39.99,$29.83,[]
RICO,-50%,Lowest price ever,$19.99,$9.99,Sale ends November 1
Syberia,-67%,Matches previous low,$14.90,$4.90,Sale ends November 4
SNACK WORLD: THE DUNGEON CRAWL — GOLD,-46%,[],$49.99,$26.97,[]
Monster Hunter Generations Ultimate,-25%,[],$39.99,$29.99,[]
Street Fighter 30th Anniversary Collection,-37%,[],$29.99,$18.99,[]
Cartoon Network: Battle Crashers,-75%,Lowest price ever,$9.99,$2.49,Sale ends November 17
Blair Witch,-50%,Lowest price ever,$29.99,$14.99,Sale ends November 5
Puyo Puyo Tetris,-33%,[],$29.99,$19.99,[]
Baldur's Gate and Baldur's Gate II: Enhanced Editions,-27%,[],$49.99,$36.66,[]
Hasbro Game Night,-67%,[],$59.99,$19.99,[]
Minecraft,-20%,[],$29.99,$23.92,[]
Mario + Rabbids Kingdom Battle Donkey Kong Adventure,-50%,Matches previous low,$14.99,$7.49,Sale ends November 1
Pro Controller,-16%,[],$69.99,$59.00,[]
Super One More Jump,-86%,[],$7.00,$0.98,Sale ends November 1
