Name,Discount,Tag,Original_Price,Discount_Price,Deadline
Immortals Fenyx Rising,-17%,Matches previous low,$59.99,$49.94,[]
Ginger: Beyond the Crystal,-75%,Lowest price ever,$19.99,$4.99,Sale ends November 1
The Church in the Darkness,-75%,Matches previous low,$19.99,$4.99,Sale ends November 2
Rad Rodgers Radical Edition,-75%,Matches previous low,$29.99,$7.49,Sale ends in 23 hours
Piczle Lines DX,-70%,Matches previous low,$14.99,$4.49,Sale ends November 1
Trüberbrook,-55%,[],$29.99,$13.49,Sale ends November 2
LEGO CITY Undercover,-70%,Matches previous low,$29.99,$8.99,Sale ends November 2
The Aquatic Adventure of the Last Human,-70%,Matches previous low,$12.99,$3.89,Sale ends November 4
Curious Expedition,-33%,Lowest price ever,$14.99,$10.04,Sale ends November 1
Jenny LeClue - Detectivu,-88%,Lowest price ever,$24.99,$2.99,Sale ends November 9
Collection of Mana,-50%,[],$39.99,$19.99,Sale ends November 2
Nintendo Labo Toy-Con 02: Robot Kit,-50%,[],$79.99,$39.97,[]
Overwatch: Legendary Edition,-25%,[],$39.99,$29.97,[]
GRIP,-80%,Lowest price ever,$39.99,$7.99,Sale ends in 38 hours
Titan Quest,-36%,[],$39.99,$25.61,[]
Valfaris & Slain Double Pack,-65%,[],$39.99,$13.99,Sale ends November 4
INVERSUS Deluxe,-80%,[],$14.99,$2.99,Sale ends in 23 hours
Assassin’s Creed: The Rebel Collection,-50%,[],$39.99,$19.99,Sale ends November 1
Demon's Crystals,-67%,Lowest price ever,$14.99,$4.94,Sale ends November 1
SpeedRunners,-33%,[],$14.99,$9.99,[]
The Long Reach,-80%,[],$14.99,$2.99,Sale ends November 8
Human Resource Machine,-33%,[],$14.99,$9.99,[]
Urban Flow Extended Edition,-60%,Lowest price ever,$16.99,$6.79,Sale ends November 13
GoNNER,-80%,Lowest price ever,$9.99,$1.99,Sale ends November 4
OTTTD: Over The Top Tower Defense,-88%,[],$7.99,$0.99,Sale ends November 1
Team Sonic Racing,-16%,[],$29.99,$25.33,[]
Owlboy,-28%,[],$24.99,$18.00,[]
Moonlighter,-66%,Matches previous low,$24.99,$8.49,Sale ends October 31
Wasteland 2: Director's Cut,-23%,[],$29.99,$22.99,[]
Moonlighter: Complete Edition,-55%,[],$28.99,$13.04,Sale ends October 31
Super Mario Party,-33%,[],$59.99,$39.99,[]
UNBOX: Newbie's Adventure,-47%,[],$29.99,$15.94,[]
Cobra Kai: The Karate Kid Saga Continues,-15%,Lowest price ever,$39.99,$33.88,[]
Nintendo Labo VR Kit - Starter Set + Blaster,-33%,[],$39.99,$26.97,[]
Starman,-89%,[],$8.99,$0.99,Sale ends November 11
Slayin 2,-50%,Matches previous low,$11.99,$5.99,Sale ends in 14 hours
Ghostbusters: The Video Game Remastered,-75%,Lowest price ever,$29.99,$7.49,Sale ends November 2
Three Fourths Home: Extended Edition,-75%,[],$8.99,$2.24,Sale ends November 4
Captain Toad: Treasure Tracker,-18%,[],$39.99,$32.84,[]
Burnout Paradise Remastered,-14%,[],$49.99,$42.88,[]
Adventure Time: Pirates of the Enchiridion,-53%,[],$39.99,$18.90,[]
Postal REDUX,-10%,Lowest price ever,$9.99,$8.99,Sale ends November 6
Glass Masquerade,-75%,Matches previous low,$11.99,$2.99,Sale ends November 4
Joy-Con Charging Grip,-17%,[],$29.99,$24.88,[]
"Invisible, Inc. Nintendo Switch Edition",-25%,Matches previous low,$19.99,$14.99,Sale ends November 2
Valiant Hearts: The Great War,-75%,Matches previous low,$19.99,$4.99,Sale ends November 1
Double Dragon & Kunio-kun: Retro Brawler Bundle,-50%,[],$39.99,$20.00,Sale ends November 3
Stikbold! A Dodgeball Adventure DELUXE,-86%,Lowest price ever,$14.99,$2.09,"Sale is already over, but Deku Deals hasn't updated the price yet. Sorry!"
Perception,-90%,Lowest price ever,$19.99,$1.99,Sale ends November 1
JUMP FORCE - Deluxe Edition,-28%,Lowest price ever,$49.99,$35.98,[]
The Mooseman,-50%,Matches previous low,$6.99,$3.49,Sale ends November 5
Cat Quest,-85%,Lowest price ever,$12.99,$1.99,Sale ends in 38 hours
Oniken: Unstoppable Edition & Odallus: The Dark Call Bundle,-75%,[],$19.99,$4.99,Sale ends November 4
Neo ATLAS 1469,-41%,[],$49.99,$29.60,[]
Super Bomberman R,-63%,[],$39.99,$14.99,[]
War Tech Fighters,-55%,Matches previous low,$19.99,$8.99,Sale ends November 18
Bloodroots,-90%,Lowest price ever,$19.99,$1.99,Sale ends November 2
The Wonderful 101: Remastered,-25%,[],$39.99,$29.83,[]
Tangle Tower,-30%,Matches previous low,$19.99,$13.99,Sale ends November 2
OVERPASS,-27%,[],$54.99,$39.99,[]
Pumpkin Jack,-20%,Lowest price ever,$29.99,$23.99,Sale ends November 12
Daggerhood,-40%,Matches previous low,$4.99,$2.99,Sale ends November 3
DRAGON BALL FIGHTERZ - FighterZ Pass,-17%,[],$34.99,$28.99,[]
Darksiders Genesis,-40%,[],$39.99,$23.93,[]
Felix The Reaper,-90%,Lowest price ever,$24.99,$2.49,Sale ends November 11
BioShock: The Collection,-40%,Lowest price ever,$49.99,$29.83,[]
Ape Out,-50%,Matches previous low,$14.99,$7.49,Sale ends November 2
Legends of Amberland: The Forgotten Crown,-30%,Lowest price ever,$19.99,$13.99,Sale ends November 10
Pic-a-Pix Deluxe,-50%,Matches previous low,$7.99,$3.99,Sale ends in 23 hours
1979 Revolution: Black Friday,-70%,[],$11.99,$3.59,Sale ends November 4
CAN ANDROIDS PRAY:BLUE,-70%,Lowest price ever,$6.99,$2.09,Sale ends November 2
NAMCO MUSEUM ARCHIVES Vol 2,-10%,Lowest price ever,$19.99,$17.99,[]
PowerA Joy-Con & Pro Controller Charging Dock,-17%,Lowest price ever,$29.99,$24.99,[]
Yuppie Psycho: Executive Edition,-10%,Lowest price ever,$16.66,$14.99,Sale ends in 23 hours
Dragon Quest Builders,-20%,[],$49.99,$39.99,[]
Child of Light Ultimate Edition,-75%,Matches previous low,$19.99,$4.99,Sale ends November 1
Blair Witch,-50%,Lowest price ever,$29.99,$14.99,Sale ends November 5
Giana Sisters: Twisted Dreams - Owltimate Edition,-37%,[],$29.99,$18.75,[]
STAR WARS Episode I Racer,-50%,Lowest price ever,$14.99,$7.49,Sale ends November 3
Hypnospace Outlaw,-25%,Matches previous low,$19.99,$14.99,Sale ends November 5
Observer,-70%,[],$29.99,$8.99,Sale ends November 5
Oddworld: New 'n' Tasty,-33%,Lowest price ever,$29.99,$19.99,Sale ends November 2
The Outer Worlds,-42%,[],$59.99,$34.99,[]
Super Chariot,-90%,[],$14.90,$1.49,Sale ends November 4
Cloudpunk,-20%,Lowest price ever,$24.99,$19.99,Sale ends in 14 hours
Party Golf,-87%,[],$15.00,$1.99,Sale ends November 12
Lonely Mountains: Downhill,-25%,Lowest price ever,$19.99,$14.99,Sale ends November 5
Umihara Kawase Fresh!,-14%,[],$39.99,$34.52,[]
New Super Lucky's Tale,-10%,[],$39.99,$35.99,[]
Children of Morta,-41%,Lowest price ever,$21.99,$12.99,Sale ends October 31
DRAGON QUEST BUILDERS 2,-25%,[],$59.99,$44.99,[]
Puyo Puyo Tetris,-33%,[],$29.99,$19.99,[]
Heart&Slash,-67%,[],$14.99,$4.94,Sale ends November 1
CONTRA: ROGUE CORPS,-50%,[],$39.99,$19.99,[]
Zumba Burn It Up!,-32%,[],$39.99,$27.23,[]
The Eyes of Ara,-45%,Lowest price ever,$14.99,$8.24,Sale ends November 3
Wolfenstein: Youngblood,-13%,[],$29.99,$25.97,[]
Just Dance 2018,-38%,[],$39.99,$24.99,[]
Castle of Heart,-93%,Lowest price ever,$14.99,$0.99,Sale ends November 2
Mario & Sonic at the Olympic Games Tokyo 2020,-17%,[],$59.99,$49.99,[]
Merchant of the Skies,-34%,Lowest price ever,$14.99,$9.89,Sale ends in 23 hours
Aggelos,-60%,Lowest price ever,$14.99,$5.99,Sale ends in 38 hours
Power Rangers: Battle for the Grid - Collector's Edition,-25%,[],$39.99,$29.88,[]
Baldur's Gate and Baldur's Gate II: Enhanced Editions,-27%,[],$49.99,$36.66,[]
Joy-Con (L/R) – Neon Purple/Neon Orange,-14%,Matches previous low,$79.99,$69.00,[]
SteamWorld Heist: Ultimate Edition,-75%,Matches previous low,$19.99,$4.99,Sale ends November 1
SuperMash,-90%,Lowest price ever,$19.99,$1.99,Sale ends November 4
Even the Ocean,-25%,Lowest price ever,$14.99,$11.24,Sale ends November 3
RDS Traveler System Case,-48%,[],$39.99,$20.99,[]
Edna & Harvey: Harvey's New Eyes,-65%,[],$19.99,$6.99,Sale ends November 11
RISK Global Domination,-50%,Matches previous low,$19.99,$9.99,Sale ends November 1
Just Dance 2020,-50%,[],$39.99,$19.99,Sale ends November 1
Shift Happens,-80%,Lowest price ever,$14.99,$2.99,Sale ends November 11
Cytus α,-16%,[],$49.99,$42.00,[]
Gigantosaurus The Game,-50%,Matches previous low,$39.99,$19.93,[]
The MISSING: J.J. Macfield and the Island of Memories,-66%,Lowest price ever,$29.99,$10.20,Sale ends November 3
Archaica: The Path Of Light,-67%,Matches previous low,$14.99,$4.94,Sale ends November 2
Scribblenauts Showdown,-75%,Matches previous low,$39.99,$9.99,Sale ends November 2
PowerA Enhanced Wireless Controller - Princess Zelda,-30%,Matches previous low,$49.99,$34.99,[]
The Jackbox Party Pack 3,-35%,[],$24.99,$16.24,Sale ends November 2
Hasbro Game Night,-67%,[],$59.99,$19.99,[]
Paradise Killer,-20%,Matches previous low,$19.99,$15.99,Sale ends November 2
