Immortals Fenyx Rising,['Adventure'],['Ubisoft'],['13.164 GB'],"['December  3, 2020']",[],[],"['English, Portuguese, Spanish, French, German, Italian, Dutch, Russian']","['TV, Tabletop, Handheld']","{'Amazon.com': ['Physical', '$49.94', '-17%'], 'Walmart': ['Physical', '$49.94', '-17%']}"
Ginger: Beyond the Crystal,"['Platformer, Adventure, Action']",['Badland Games'],['5.91 GB'],"['November 17, 2017']",tbd,tbd,"['English, Spanish, French, German, Italian, Russian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$4.99', '-75%']}"
The Church in the Darkness,"['Adventure, Action, Strategy']",['Fellow Traveller'],['1.447 GB'],"['NA/EU', 'August  2, 2019JP', 'October  3, 2019']",69,tbd,['English'],"['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$4.99', '-75%']}"
Rad Rodgers Radical Edition,"['Platformer, Action']",['HandyGames'],['4.264 GB'],"['NA/EU', 'February 26, 2019JP', 'April 18, 2019']",62,4.5,"['Japanese, English, Spanish, French, German, Italian, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$7.49', '-75%']}"
Piczle Lines DX,"['Puzzle, Training, Board Game, Action']",['Rainy Frog'],['281 MB'],"['August 24, 2017']",76,7.6,"['Japanese, English, Spanish, French, German, Italian, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$4.49', '-70%']}"
Trüberbrook,"['Adventure, Puzzle']",['Headup Games'],['7.382 GB'],"['NA/EU', 'April 17, 2019JP', 'October 24, 2019']",58,5.6,"['English, Spanish, French, German, Russian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$13.49', '-55%']}"
LEGO CITY Undercover,['Action'],['Warner Bros. Entertainment'],['8.703 GB'],"['NA', 'April  4, 2017EU', 'April 12, 2017JP', 'June 29, 2017']",78,7.8,"['English, Spanish, French, German, Italian, Dutch, Portuguese, Russian, Chinese (Traditional), Danish, Polish']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$8.99', '-70%']}"
The Aquatic Adventure of the Last Human,"['Adventure, Action']",['Digerati'],['206 MB'],"['January  3, 2019']",tbd,7.2,"['English, German']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$3.89', '-70%']}"
Jenny LeClue - Detectivu,"['Adventure, Platformer, Puzzle']",['Mografi'],['1.296 GB'],"['August 26, 2020']",tbd,tbd,"['Japanese, English, Spanish, French, Portuguese, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$2.99', '-88%']}"
Curious Expedition,"['Adventure, Board Game, Simulation, Strategy']",['Thunderful'],['482 MB'],"['April  2, 2020']",68,tbd,"['Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$10.04', '-33%']}"
